,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
1195,1,3,1,5,11,0,19,11,13,13,15
1049,0,3,1,5,0,0,14,6,0,4,2
1343,1,3,1,4,0,0,0,0,0,0,0
1525,1,3,1,5,0,0,11,0,0,0,0
476,0,4,1,4,13,0,20,0,0,10,17
1027,0,7,1,11,10,0,18,15,14,19,14
833,0,3,1,4,13,0,18,0,0,13,14
959,0,2,1,4,0,0,18,10,0,16,14
716,0,4,1,4,14,0,0,0,0,0,0
315,0,5,1,4,4,0,0,0,0,0,0
316,0,2,1,5,5,0,17,8,9,9,10
1107,1,4,1,4,10,0,20,18,16,18,16
460,0,4,1,4,15,0,14,12,5,14,13
90,0,3,0,4,0,1,18,8,0,12,11
1284,1,18,1,13,11,1,0,0,0,0,0
967,0,28,1,3,16,0,19,15,16,19,17
548,0,2,1,5,7,0,18,15,14,6,14
823,0,6,1,4,5,1,0,0,0,0,0
1098,1,3,1,5,0,0,17,13,0,14,15
1394,1,3,1,10,11,0,5,0,0,0,0
1129,1,3,1,4,0,0,11,7,0,0,0
1097,1,5,1,4,15,0,19,13,12,10,14
1462,1,2,1,4,10,0,16,16,11,20,2
678,0,16,1,3,12,1,0,0,0,0,0
836,0,3,1,3,4,1,15,6,0,6,10
1011,0,4,1,7,8,0,0,0,0,0,0
1442,1,2,1,0,10,0,20,14,16,16,17
669,0,6,1,3,14,0,8,3,6,12,7
1310,1,5,1,3,5,0,18,8,6,7,14
1352,1,2,1,4,7,1,20,16,13,15,16
522,0,2,1,3,5,1,0,0,0,0,0
700,0,3,1,11,10,0,16,14,12,19,16
611,0,3,1,9,13,0,17,10,0,4,13
486,0,3,1,7,8,0,0,0,0,0,0
1418,1,3,1,5,1,0,17,0,0,10,16
1439,1,4,1,10,10,0,18,20,12,17,11
11,0,4,0,4,10,0,20,16,12,18,15
68,0,4,0,4,13,1,16,0,0,13,15
973,0,2,1,4,12,0,15,7,0,9,11
560,0,3,1,3,14,0,14,10,5,17,12
1437,1,3,1,7,8,0,12,6,0,14,15
679,0,5,1,9,10,0,19,16,14,14,17
799,0,3,1,5,4,0,0,0,0,0,10
1279,1,2,1,5,0,0,18,13,0,11,17
1275,1,3,1,3,6,0,0,0,0,0,0
464,0,4,1,4,4,1,19,13,0,15,12
710,0,7,1,13,0,1,10,13,0,18,16
276,1,3,0,4,10,1,19,17,18,17,17
1482,1,4,1,9,10,0,20,19,16,20,0
1090,1,3,1,5,17,0,10,11,6,4,14
1100,1,12,1,13,18,0,9,0,2,8,8
1124,1,4,1,4,14,1,0,0,0,0,0
1151,1,3,1,7,8,0,0,0,0,0,0
788,0,3,1,9,10,1,19,16,13,14,15
1072,0,6,1,3,17,0,18,7,8,9,11
844,0,3,1,4,8,0,17,16,11,18,13
603,0,4,1,4,4,0,7,1,0,4,7
1366,1,5,1,3,13,1,16,0,0,0,15
1014,0,5,1,4,11,0,18,0,0,0,14
505,0,5,1,9,10,0,17,17,8,10,14
540,0,3,1,4,11,0,19,9,0,13,13
258,1,2,0,4,10,0,20,19,17,18,17
585,0,9,1,3,14,1,11,9,4,6,17
732,0,2,1,5,13,0,13,9,7,14,13
